table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2020 to July 1, 2022",,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,
,,2020,2021,2022
California,"39,538,245","39,501,653","39,142,991","39,029,342"
".Alameda County, California","1,682,331","1,680,380","1,643,837","1,628,997"
".Alpine County, California","1,201","1,204","1,235","1,190"
".Amador County, California","40,474","40,532","41,144","41,412"
".Butte County, California","211,631","210,135","206,190","207,303"
".Calaveras County, California","45,285","45,346","46,219","46,563"
".Colusa County, California","21,837","21,858","21,913","21,914"
".Contra Costa County, California","1,165,927","1,165,986","1,163,298","1,156,966"
".Del Norte County, California","27,745","27,601","27,553","27,082"
".El Dorado County, California","191,184","191,220","193,590","192,646"
".Fresno County, California","1,008,650","1,009,503","1,012,992","1,015,190"
".Glenn County, California","28,915","28,896","28,664","28,339"
".Humboldt County, California","136,465","136,261","134,836","135,010"
".Imperial County, California","179,709","179,595","179,215","178,713"
".Inyo County, California","19,025","19,001","18,927","18,718"
".Kern County, California","909,244","905,828","912,351","916,108"
".Kings County, California","152,488","152,790","152,679","152,981"
".Lake County, California","68,158","68,195","68,584","68,191"
".Lassen County, California","32,730","32,317","31,813","29,904"
".Los Angeles County, California","10,014,042","9,992,236","9,811,842","9,721,138"
".Madera County, California","156,259","156,343","158,910","160,256"
".Marin County, California","262,318","261,282","259,162","256,018"
".Mariposa County, California","17,128","17,118","17,107","17,020"
".Mendocino County, California","91,595","91,361","91,003","89,783"
".Merced County, California","281,202","281,814","284,458","290,014"
".Modoc County, California","8,700","8,663","8,571","8,511"
".Mono County, California","13,198","13,226","13,261","12,978"
".Monterey County, California","439,036","438,390","437,249","432,858"
".Napa County, California","138,024","137,485","136,206","134,300"
".Nevada County, California","102,235","102,249","103,457","102,293"
".Orange County, California","3,186,979","3,185,516","3,161,005","3,151,184"
".Placer County, California","404,740","405,889","412,789","417,772"
".Plumas County, California","19,796","19,749","19,940","19,351"
".Riverside County, California","2,418,177","2,422,847","2,453,178","2,473,902"
".Sacramento County, California","1,585,046","1,586,465","1,588,106","1,584,169"
".San Benito County, California","64,207","64,521","66,675","67,579"
".San Bernardino County, California","2,181,662","2,183,239","2,192,882","2,193,656"
".San Diego County, California","3,298,635","3,296,045","3,274,954","3,276,208"
".San Francisco County, California","873,959","870,393","811,253","808,437"
".San Joaquin County, California","779,227","780,558","788,140","793,229"
".San Luis Obispo County, California","282,443","281,879","279,298","282,013"
".San Mateo County, California","764,432","762,511","739,060","729,181"
".Santa Barbara County, California","448,217","448,244","437,434","443,837"
".Santa Clara County, California","1,936,274","1,931,026","1,886,595","1,870,945"
".Santa Cruz County, California","270,869","270,462","260,495","264,370"
".Shasta County, California","182,152","181,984","181,981","180,930"
".Sierra County, California","3,234","3,228","3,295","3,217"
".Siskiyou County, California","44,075","43,991","44,026","43,660"
".Solano County, California","453,490","452,698","450,350","448,747"
".Sonoma County, California","488,875","488,281","484,315","482,650"
".Stanislaus County, California","552,880","553,217","552,851","551,275"
".Sutter County, California","99,631","99,464","99,038","98,503"
".Tehama County, California","65,831","65,682","65,380","65,245"
".Trinity County, California","16,112","16,089","16,061","15,781"
".Tulare County, California","473,117","473,891","476,946","477,544"
".Tuolumne County, California","55,623","55,374","55,065","54,531"
".Ventura County, California","843,843","843,310","839,358","832,605"
".Yolo County, California","216,405","216,291","213,039","222,115"
".Yuba County, California","81,578","81,994","83,216","84,310"
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2022 population estimates series are as of January 1, 2022. ",,,,
Suggested Citation:,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2020 to July 1, 2022 (CO-EST2022-POP-06)",,,,
"Source: U.S. Census Bureau, Population Division",,,,
Release Date: March 2023,,,,
